5_o_Clock_Shadow Arched_Eyebrows Attractive Bags_Under_Eyes Bald Bangs Big_Lips Big_Nose Black_Hair Blond_Hair Blurry Brown_Hair Bushy_Eyebrows Chubby Double_Chin Eyeglasses Goatee Gray_Hair Heavy_Makeup High_Cheekbones Male Mouth_Slightly_Open Mustache Narrow_Eyes No_Beard Oval_Face Pale_Skin Pointy_Nose Receding_Hairline Rosy_Cheeks Sideburns Smiling Straight_Hair Wavy_Hair Wearing_Earrings Wearing_Hat Wearing_Lipstick Wearing_Necklace Wearing_Necktie Young
No_Beard 54.20052 10.88945 3.70213 23.17170 86.19807 9.58047 2.00124 25.45941 11.76490 23.44095 17.71422 3.42923 17.13968 54.18238 58.92913 56.37997 62.84202 66.71766 21.47190 2.00592 48.78961 2.13990 63.53809 4.57943 0 1.77817 9.16122 2.56445 25.31397 22.72579 62.67353 2.92855 6.09787 8.15685 9.64251 88.30407 18.23575 12.62410 103.30127 0.61668
Oval_Face 50.55753 13.49666 4.80524 21.25464 81.68657 12.86548 3.92333 23.65611 10.92522 27.19393 21.39801 4.08148 14.36350 51.17648 54.88211 56.48004 60.20848 63.77046 25.06963 1.22961 46.79080 2.22540 61.74427 6.05595 1.77817 0 13.08578 4.08302 23.04252 23.13910 59.88265 1.67628 5.13579 10.77900 12.46719 91.02613 22.02548 15.90988 98.02709 1.98474
Pale_Skin 76.89548 11.13093 7.24954 42.52808 110.58005 7.17742 8.81781 45.65865 26.58497 20.86197 33.60446 11.55487 34.78181 77.29913 81.75709 76.32597 86.76999 86.67165 16.54361 13.32574 71.45748 16.29699 86.14612 17.84108 9.16122 13.08578 0 8.49736 46.66731 22.38321 85.33774 15.34493 19.65777 9.46709 12.44212 106.96506 14.16712 12.49168 122.76564 10.32104
Pointy_Nose 68.06897 5.41605 1.17403 33.83306 100.89302 8.48293 2.57430 36.78214 18.09858 17.60643 26.98464 3.72751 25.13314 68.34564 71.92980 69.82207 77.37941 79.06211 13.52257 3.87139 63.91543 6.83499 78.09842 10.29057 2.56445 4.08302 8.49736 0 35.34920 14.01912 76.39605 5.72227 11.42330 3.77228 7.24282 104.33799 11.39908 8.37585 114.67170 3.43242
Receding_Hairline 18.03184 57.14902 40.95112 6.68487 28.95731 47.21603 32.67255 5.50630 13.31504 74.60080 22.61134 32.05810 8.76743 13.89980 17.07673 29.46352 22.60088 22.94153 77.11250 23.64424 13.74439 18.63315 23.00120 17.32341 25.31397 23.04252 46.66731 35.34920 0 70.87320 22.96836 19.66863 13.44847 50.69275 51.50563 75.85231 71.89706 59.75333 52.26650 26.34066
Rosy_Cheeks 105.10676 6.33508 12.26045 69.20728 139.44736 16.86200 19.14040 73.57233 46.86958 14.81799 57.56736 20.68089 57.75889 108.76035 110.14241 109.88963 117.27303 117.88565 5.12542 20.33467 103.45569 29.16129 118.72244 35.80093 22.72579 23.13910 22.38321 14.01912 70.87320 0 115.51455 24.94320 39.08340 10.11292 8.75336 141.39790 5.44882 7.23528 147.29461 24.31533
Sideburns 5.16940 104.26857 83.29424 19.15433 19.25662 84.89611 71.12199 13.63509 40.90048 120.32229 40.97021 70.42219 26.16128 9.07250 12.67122 25.34149 2.29170 21.17074 123.70110 60.33332 5.49711 51.49422 4.04622 47.84555 62.67353 59.88265 85.33774 76.39605 22.96836 115.51455 0 52.98893 45.30855 93.21187 95.07022 61.76968 117.48224 101.12437 46.19713 61.54336
Smiling 44.48324 16.88697 7.32689 16.41617 74.80363 14.10891 6.14056 19.04661 11.58851 29.00387 18.85513 5.69181 13.10664 44.22518 46.62217 50.48610 53.78018 55.15754 29.31162 0.63903 40.99206 1.46015 55.10425 4.49658 2.92855 1.67628 15.34493 5.72227 19.66863 24.94320 52.98893 0 4.89370 12.64583 15.27807 88.01919 25.78659 17.89790 90.32812 3.85351
Straight_Hair 35.75447 26.23215 13.11228 12.10077 61.91543 19.59829 11.20137 14.83284 6.74687 41.94422 19.88973 9.32659 8.06653 37.25157 40.62749 44.64128 46.00882 46.82949 41.13698 6.16617 32.04120 5.06052 46.77557 6.12763 6.09787 5.13579 19.65777 11.42330 13.44847 39.08340 45.30855 4.89370 0 22.41432 24.55666 87.70065 37.07032 29.79684 79.01374 6.62805
Wavy_Hair 85.16192 4.18353 3.50318 48.35892 120.05399 7.65511 6.76012 51.80036 29.75221 11.01110 34.30498 6.48313 39.46936 86.13032 89.46550 83.74872 95.01469 94.93063 8.15850 9.59402 81.20576 14.33447 95.81495 18.30697 8.15685 10.77900 9.46709 3.77228 50.69275 10.11292 93.21187 12.64583 22.41432 0 7.20526 119.78576 6.46285 4.58484 131.28285 9.42513
Wearing_Earrings 85.01208 3.16280 5.94890 50.69365 120.82849 10.30009 7.05486 53.50576 28.30836 16.16780 36.71199 11.50478 39.94714 88.01944 93.18545 88.01692 95.03843 102.70989 6.12633 11.38194 80.66855 15.06555 96.15062 19.59612 9.64251 12.46719 12.44212 7.24282 51.50563 8.75336 95.07022 15.27807 24.55666 7.20526 0 111.69165 4.75690 3.65936 135.35480 9.83549
Wearing_Hat 65.91562 124.23908 109.39855 68.72688 91.25509 112.39088 91.24859 60.00947 79.98567 139.85271 67.82922 104.02806 71.11690 63.58785 74.29453 66.81274 56.95602 93.69782 140.99771 92.84327 59.64366 79.88686 56.52473 78.33722 88.30407 91.02613 106.96506 104.33799 75.85231 141.39790 61.76968 88.01919 87.70065 119.78576 111.69165 0 135.28221 118.86475 122.20715 84.80478
Wearing_Lipstick 107.50711 2.43650 8.64458 69.89644 143.49641 11.71274 14.13262 74.10695 43.84137 11.69640 51.62819 17.12185 57.76133 111.12218 115.04761 108.06932 118.59594 122.02755 0.31599 20.59986 103.72081 27.55991 119.26691 32.77115 18.23575 22.02548 14.16712 11.39908 71.89706 5.44882 117.48224 25.78659 37.07032 6.46285 4.75690 135.28221 0 3.49023 152.76249 19.22739
Wearing_Necklace 92.47912 4.14441 7.20994 57.31559 128.91486 8.98996 9.47285 59.73256 36.74120 10.46963 38.77051 12.92508 48.25888 94.83681 98.83305 90.99867 101.67404 106.53707 4.95867 14.11765 88.60917 18.93901 102.79281 24.24713 12.62410 15.90988 12.49168 8.37585 59.75333 7.23528 101.12437 17.89790 29.79684 4.58484 3.65936 118.86475 3.49023 0 141.48717 13.40154
Wearing_Necktie 42.70967 140.90927 120.53385 52.41570 27.66750 123.40866 114.47896 51.24354 78.92109 157.51992 95.33758 110.44368 63.28640 32.75671 26.09269 60.92787 48.39303 25.58374 157.12130 98.15791 40.39792 92.73641 45.14452 89.42288 103.30127 98.02709 122.76564 114.67170 52.26650 147.29461 46.19713 90.32812 79.01374 131.28285 135.35480 122.20715 152.76249 141.48717 0 106.33864
Young 53.19947 11.65045 4.19166 23.96398 87.23832 11.01946 1.72521 25.69627 10.90736 25.58883 17.72858 3.78632 16.31988 55.12804 60.73875 56.87537 61.43528 70.03337 22.49173 2.94296 48.52589 2.43757 62.68717 5.06267 0.61668 1.98474 10.32104 3.43242 26.34066 24.31533 61.54336 3.85351 6.62805 9.42513 9.83549 84.80478 19.22739 13.40154 106.33864 0
